SNR,NumTargets,DL,FFT,MUSIC,SBL
0,1,0.12927938,47.53153574204542,47.53153574204542,47.53153574204542
0,2,0.34063572,71.63096415426644,71.63096415426644,71.63096415426644
0,3,0.42131454,92.47982809418862,92.47982809418862,92.47982809418862
10,1,0.016064603,29.7717471841285,29.7717471841285,29.7717471841285
10,2,0.22275692,45.11879837495236,45.11879837495236,45.11879837495236
10,3,0.29402277,58.86616516314824,58.86616516314824,58.86616516314824
20,1,0.010043706,27.93779023413272,27.93779023413272,27.93779023413272
20,2,0.1891332,41.196267707659715,41.196267707659715,41.196267707659715
20,3,0.3103845,56.23963372291363,56.23963372291363,56.23963372291363
30,1,0.014646002,27.92537058482579,27.92537058482579,27.92537058482579
30,2,0.18132539,40.812495436757146,40.812495436757146,40.812495436757146
30,3,0.2920745,55.96111717080199,55.96111717080199,55.96111717080199
